questions,answers
Tell me about yourself,"Over the last three years I have been steadily transitioning into a career in tech, specifically focusing on data related roles. This transition began when I was working as a Billing and Accounts Manager for a local Art transportation and installation company. While working with financial data in this role I discovered an interest in analytics and programming, solving several business problems by implementing new technologies. 

    From there I transitioned into a Data Specialist role at StrataTech Education group where I performed regular and ad hoc analysis for the Marketing, Finance, and Admissions departments. Additionally I gained experience working with SQL databases, ETL procedures, and writing automated scripts for data ingestion. During this time I also began utilizing online training sources to learn to program in Python. My commitment to continuous learning and aptitude for solving business problems resulted in consistently receiving ""exceeds expectations"" in my semi-annual performance reviews. 

    Most recently, I have completed a 700 hour data science certification program. During this time, I reinforced my working experience in data analysis and programming, as well as gained significant experience in data science, source control, command line interfaces, machine learning, and artificial intelligence. I am very comfortable querying SQL databases, programming in Python, and using advanced methods in Excel, such as VBA scripting. This wide range of skillsets makes me a good fit for large, highly structured companies, as well as smaller companies looking to improve how they do business."
Tell me about your experience as a data specialist,"I was responsible for a wide range of tasks a data specialist. My responsibilities included:
    
    - Monitoring/troubleshooting data pipelines for marketing efforts. For example, we contracted a call center to help contact leads that our internal reps could not get to. While auditing this process I discovered the automation was sending the leads we had already contacted instead of ones we had not. This error was costing the company thousands of dollars on a monthly basis.
    - Managing and reporting all data related to the Marketing Department, including KPI's for marketing goals and financial data. About 4,000 leads a month, and over 1 million dollars in spend per month.
    - Developed dashboards for realtime data tracking, using tools such as Salesforce Intelligence, PowerBi, and SQL.
    - Ad hoc data analysis, answering questions, and presentations. If something wasn't right, or didn't seem right, with the data, I was the go to person. I often improved process, or provided valuable insights to leadership of the Marketing, Finance, Admissions, and IT teams."
Describe your top three technical skills. Which skills would you like to improve next?,"I think my three best skills are creative problem solving, computational thinking, and data manipulation. At StrataTech I solved the major problem of monthly budgeting process taking way too long and being very error prone by creating an Excel workbook that automated this process while checking for errors in account number assignments. Building this workbook with formulas and VBA scripts also required some good computational thinking in order to make it a repeatable process month to month and year to year. Likewise, this required data manipulation skills since a major function of the workbook was a process that gathered all the spend information into a concise report for purchase orders to be sent to the accounting department.
    
    Moving forward I would like to improve my machine learning skills by applying them within a business setting. My exposure to data analysis was rooted in real-world experience first, then formal education. As such, the difference between theory and practice has always been very apparent to me. I'm eager to see how this applies to machine learning."
Why are you interested in Data sphere?,"My working experience has proved to me that working in data is a very good fit for me. I am very analytical and process minded. I am also relentless when it comes to problem solving and improving efficiency, which this line of work creates a great outlet for. I also love learning new skills and applying them, which aligns well the industry's constant evolving nature. I am also incredibly excited and interested in the breakthroughs that are happening in artificial intelligence. Long term I would really like to be working with these systems to solve some of our biggest problems and make huge impacts on our quality of life."
How would you define success in your career?,"I would define success as first becoming an integral and trusted part of the organization I join, proving myself as an agile learner with unique skills and perspectives to offer. Advancement, particularly within the same organization, is very important to me as well. I plan on continuing to learn new technologies and would like to see my role and responsibilities evolve alongside my continued education."
Can you tell me about a challenge or conflict you faced at work and how you managed to solve it?,"Yes. A particularly difficult challenge I faced occurred early on when I was working for Art Solutions, I had accidentally charged a customer 3500 instead of 350. Luckily I caught the error the same day, before the customer noticed. I knew I had to rectify the error right away and call the customer to inform them and apologize. The first step I took was to inform my supervisor then present a plan of action: to void the transaction, that way I could call the customer having already solved the problem. I then called and apologized for the mistake and let them know what they could expect to see on their charges. The customer was a little annoyed early on, but in the end thanked me solving the issue right away and calling to apologize."
What communication challenges could you face while working in a remote team? How would you overcome them?,"Working remotely for StrataTech I saw how easy it was for communications to get lost in the shuffle of emails, instant messages, meetings, etc and how that led to misunderstandings of priority. I wore a lot of hats there and had to field and prioritize a lot of requests from several different departments. My solution to this was to keep a dynamic list of tasks ordered by their priority, from time to time I would check in with my supervisor to see if I was prioritizing tasks the way they expected. This really helped keep us on the same page and eliminate surprises."
Describe a problem that you had to solve but lacked important information. What did you do?,"I recently wrapped up a data science internship with a language learning app company. The platform is just over a year old and even the owner has some knowledge gabs in how all the data is structured. I was tasked with analyzing customer journey and retention, but some ambiguities in the data structure proved to be problematic without a clear answer from the owner. Since the owner could not definitely answer some of my questions about the data, I developed questions and analysis to answer those questions. For example: ""what is the difference between 'subscription_end' and 'subscription_cancel'? Can a subscription end without a cancel?"" By taking this approach, I was able to validate some assumptions about the data set while flagging other inconsistencies to the owner. This resulted in reliable analysis and detailed documentation regarding the data structure for future analysis."
Can you guide me through one of the projects you are most proud of? Why are you proud of it? What business problem did it solve?,"As the Data Specialist at StrataTech, it was my responsibility to prepare a monthly spreadsheet so the marketing team could plan their spending against the allotted budget. The main challenges were
    1. Costs needed to be split between hundreds of general ledger accounts.
    2. A spreadsheet passed around by several people resulted in a lot of typos, errors, and miscalculated formulas.
    All of this made the process excruciatingly slow and error prone. So I committed to building a tool that would eliminate these errors and make the process more efficient. I did this by creating a an xlm file that utilized macros and protected cells in a way that allowed users to input the dynamic data, but prevented making changes to static values like GL account numbers.  This was achieved with table schemas and Xlookups. The project was a huge success and cut the entire process time down by at least half. The tool I built is still in use today, even after they have added new campuses and GL accounts. Which speaks to the robustness of its design."
What is your working process when you start a new project?,"I like to start projects from a bird's eye view. What do I have to work with, and what am I trying to achieve? I try to ask as many practical questions as I can before diving into the technical. Once I feel confident in the expectations for the project, I like to build a general outline of the steps I will need to accomplish and estimate the time it will take to achieve each. This helps me catch any roadblocks I may encounter earlier on, and if need be I can prioritize those. Then I dive into the technical. For data projects this is where I would begin the EDA process. After this I take a more iterative approach, being sure to adjust my initial plan in accordance with new discoveries and continuing to update my expectations for time needed to complete the subtasks I have outlined."
