title,description,tags,link
Instacart Exploratory Data Analysis,"In this e-commerce grocery project, I analyzed Instacart’s public transaction dataset to uncover shopping-behavior insights that can guide marketing and inventory strategy. Using Python (pandas, NumPy) in Jupyter, I cleaned data quality issues, then visualized order volume by hour, day-of-week, and days-since-prior purchase, as well as product and aisle popularity with Matplotlib. Key findings showed peak ordering at 10 AM, a weekly reorder cadence (median = 7 days), and heavy preference for organic produce—insights that help optimize promotion timing and stock levels.","Python, pandas, NumPy, matplotlib, Jupyter, exploratory-data-analysis, visualization, customer-behavior, grocery, e-commerce, transaction-data, Instacart, retail",https://github.com/IMMontoya/Instacart_EDA/blob/main/README.md
Telecom Plan Revenue Statistical Data Analysis,"In this telecom revenue study for Megaline, I analyzed a 500-subscriber dataset to determine which prepaid plan—Surf or Ultimate—yields greater monthly revenue and whether users in the NY-NJ market differ from other regions. Using Python in Jupyter (pandas, NumPy) I aligned call, SMS, and data usage with billing rules, built descriptive statistics and visualizations (matplotlib / seaborn), and ran two-sample t-tests with SciPy. Results showed Ultimate subscribers generate significantly higher revenue, while geographic differences were not statistically meaningful, arming the commercial team with clear evidence to focus advertising on the more profitable plan.","Python, pandas, NumPy, matplotlib, seaborn, SciPy, Jupyter, statistical-analysis, hypothesis-testing, t-test, revenue, telecom, prepaid-plan, A/B-testing, data-visualization,financial, revenue, Data Visualization",https://github.com/IMMontoya/Telecom_SDA/blob/main/README.md
Global Video Game Sales Analysis (1980 - 2016),"This project analyzes global video game sales data from 1980 to 2016 to identify market trends, platform lifecycles, genre profitability, and regional preferences. It includes data cleaning, exploratory data analysis, hypothesis testing on user ratings across platforms and genres, and detailed visualizations using pandas, numpy, matplotlib, seaborn, and scipy. The analysis highlights PlayStation 4's market dominance, the profitability of Action and Shooter genres, and significant regional differences, providing strategic recommendations for investors and game developers.","pandas, numpy, matplotlib, seaborn, scipy, EDA, data cleaning, hypothesis testing, video games, sales analysis, platform lifecycle, market trends, regional analysis, data visualization, Financial",https://github.com/IMMontoya/global_videogame_sales_analysis/blob/main/README.md
Spirit Phone Embedded System for Interactive Art Sculpture,"This project is an embedded systems application in the domain of interactive art installations. It solves the problem of detecting whether an old-style phone handset is on or off the hook and accordingly controls power to a bell trembler or an AM/FM radio using an Arduino Nano microcontroller. The system uses sensor input from a magnetic reed switch and controls relays to switch outputs, implementing real-time processing with randomized intervals between bell rings to create an engaging user experience. The project demonstrates hardware integration, real-time embedded programming in C++, and power management for battery-operated devices.","Arduino, embedded systems, C++, hardware integration, real-time processing, magnetic reed switch, relay control, interactive art, sensor reading, AM/FM radio, bell trembler, battery management, Arduino Nano",https://github.com/IMMontoya/Spirit-Phone/blob/main/README.md
Competitor Analysis for Ride Sharing Company,"This project analyzes taxi and weather data from Chicago to uncover patterns in passenger preferences and the impact of weather on ride durations, specifically testing whether ride durations from the Loop to O'Hare Airport differ on rainy Saturdays. Using data extracted from a PostgreSQL database and weather records parsed from public datasets, the analysis employs statistical testing (t-tests) and visualization with pandas and matplotlib. Key findings include the Loop as the most popular destination, Flash Cab as the leading taxi company, and a statistically significant increase in trip duration on rainy Saturdays by approximately 9 minutes.","Python, pandas, matplotlib, scipy, PostgreSQL, SQL, data analysis, hypothesis testing, t-test, ride sharing, taxi data, weather data, Chicago, data visualization, competitor analysis",https://github.com/IMMontoya/competitor_analysis_for_ridesharing_company/blob/main/README.md
Predicting Customer Churn with Boosting Algorithms,"This project addresses the problem of predicting customer churn in the telecom domain, enabling proactive customer retention strategies. It utilizes data from multiple customer-related sources, applying extensive exploratory data analysis and feature engineering. Various machine learning models, including Logistic Regression, Random Forest, XGBoost, and CatBoost, are trained and tuned with techniques like upsampling and balanced class weights. The CatBoost model achieved the best performance with an ROC-AUC of 0.8555 and 81.31% accuracy on the test set, providing actionable insights into key churn drivers.","python, pandas, numpy, matplotlib, seaborn, scikit-learn, xgboost, catboost, machine learning, classification, customer churn, telecom, data preprocessing, feature engineering, upsampling, grid search, hyperparameter tuning, ROC-AUC, predictive modeling",https://github.com/IMMontoya/interconnect_predict_churn/blob/main/README.MD
Instant Interview Bot,"This project is in the NLP domain and provides a generative AI chatbot that simulates an instant interview experience by representing the developer's professional background. It uses a large language model (google/gemma-3-27b-it) fine-tuned for conversational tasks, combined with Retrieval-Augmented Generation (RAG) and few-shot learning techniques to incorporate relevant resume information, interview Q&A examples, and project details. The chatbot maintains conversational context efficiently by summarizing older messages to stay within token limits, delivering a natural language interface for recruiters and hiring managers to engage with the developer’s experience.","NLP, chatbot, generative AI, large language model, google/gemma-3-27b-it, Retrieval-Augmented Generation, RAG, few-shot learning, sentence-transformers, embeddings, conversational AI, context management, gradio, Python, Hugging Face, interview bot, resume parsing",https://github.com/IMMontoya/instant_interview_bot/blob/main/README.md
Product Recommendation System using Machine Learning,"This project is in the telecommunications domain and aims to develop a machine learning model to recommend new mobile plans (Smart or Ultra) to subscribers based on their usage behavior. Using a dataset of user behavior features such as calls, minutes, messages, and data usage, three classification models—Decision Tree, Random Forest, and Logistic Regression—were evaluated with hyperparameter tuning. The Random Forest Classifier achieved the best performance with an accuracy of 82.58%, surpassing the business requirement of 75%, and is saved as the final model for deployment.","machine learning, classification, decision tree, random forest, logistic regression, hyperparameter tuning, scikit-learn, scikit-optimize, pandas, numpy, matplotlib, seaborn, telecom, user behavior analysis, plan recommendation, Python",https://github.com/IMMontoya/Mobile-Plan-Recommendation-System-using-Machine-Learning/blob/main/README.md
Customer Churn Prediction,"This project involves predicting customer churn for Beta Bank using machine learning models. The project uses a dataset with features such as credit score, demographics, account details, and banking behavior. Various methods were used to handle class imbalance, with downsampling proving most effective. The final Random Forest model achieved an F1 score of 0.62, an AUC-ROC score of 0.77, and an accuracy score of 0.82.","Python, pandas, numpy, matplotlib, sklearn, machine learning, data analysis, customer churn prediction, class imbalance, downsampling, Random Forest Classifier, Decision Tree Classifier, Logistic Regression Classifier, credit score, demographics, account details, banking behavior.",https://github.com/IMMontoya/Predict_Customer_Churn/blob/main/README.md
Gold Recovery Efficiency Prediction,"This project is in the domain of mining, specifically focusing on predicting gold recovery efficiency. The problem being solved is to improve the accuracy of gold recovery predictions in mining processes. The project uses data preprocessing, data analysis, and machine learning models such as Linear Regressor, Decision Tree Regressor, and Random Forest Regressor. The Random Forest model was found to perform better than a baseline model, and further exploration of advanced models and hyperparameters is recommended.","Python, Data Preprocessing, Data Analysis, Linear Regressor, Decision Tree Regressor, Random Forest Regressor, Mining, Gold Recovery Efficiency, Machine Learning, sMAPE, Model Evaluation, Model Testing, Data Visualization",https://github.com/IMMontoya/Machine Learning Model for Efficiency in Gold Mining/blob/main/README.md
